Municipality	Water	Sewage	Electrcity	Natural Gas	Cable	# Supermarkets	# Pharmacies	# Banks	School Score	Graduation Rate	Student/Teacher Ratio	SHI %	Hospital
Ayer	0	0	1	1	1	0	3	2	B-	93	11.3	7.4	1
Abington	0	0	1	1	1	1	2	2	B-	93.8	14.4	9.9	0
Andover	0	0	1	1	1	2	1	9	A	98	13.1	13.4	0
Belmont	1	1	0	1	1	0	2	5	A+	98.8	15.4	6.5	1
Beverly	0	0	1	1	1	0.6	0.67	1.2	B+	92.2	12.8	11.8	1
Dedham	0	1	1	1	1	0.5	1	0.5	A-	91.5	11.2	11.1	0
Concord	0	0	0	1	1	0.5	1.5	4.5	A	98	11.3	10.5	0
Canton	1	1	1	1	1	0	0.5	1.5	A	95.5	13.5	12.6	0
Brockton	0	0	1	1	1	1.33	2.33	2	C	77.2	13.7	13	1
Braintree	0	1	0	1	1	0.5	1	1	A-	96.1	13	9.6	0
Chelsea	1	1	1	1	1	6	4	6	C-	66.6	12.7	19.2	0
Hingham	0	1	0	1	1	0	0	0	A+	95.3	12.1	11.4	0
Franklin	0	0	1	1	1	0.5	0.5	2.5	A	95.4	12	12	0
Kingston	1	1	1	1	1	0	0	0	B-	NA	15.3	4.2	0
Plymouth	0	0	1	1	1	0	1	1	B	95.4	11.5	4.5	0
Norwood	1	1	0	1	1	1.66	1.33	5.33	A-	95.2	11.3	9.9	1
Needham	1	1	1	1	1	1.75	1.25	4.5	A+	97.4	12.6	12.8	1
Newton	1	1	1	1	1	0.875	1.5	3.25	A+	95.7	10.8	7.8	1
Mansfield	0	0	0	1	1	0	2	4	A-	96.4	11.4	10.9	0
Rockport	0	0	1	1	1	1	1	1	B+	92.8	8.3	3.9	0
Quincy	1	1	1	1	1	0.66	1.33	2	A-	91	12.9	9.9	1
Wakefield	1	1	0	1	1	1	1.33	2	B	96.1	12.2	6.7	0
Waltham	1	1	1	1	1	4.5	2	3	B	81.8	9.9	7.3	0
Weston	1	0	1	1	1	0	0	0	A+	98.2	11.6	8.4	0
Winchester	1	1	1	1	1	0.5	1	2	A+	97.8	12.3	3.7	0
Wellesley	1	1	0	1	1	0.33	0.66	2.66	A+	96.7	11	11.5	0
Weymouth	0	1	1	1	1	0	1	1	B	88.9	12.1	7	0
Westwood	0	1	1	1	1	1.5	1.5	1.5	A+	98	12.3	11.1	0
Whitman	0	0	1	1	1	1	0	0	B	89.8	14.3	3.8	0
