FID,station,c_railstat,amtrak,map_sta,shape
GISDATA.TRAINS_NODE.51,HARVARD,,,Y,POINT (192188.04688904434 920599.6874975897)
GISDATA.TRAINS_NODE.41,BLUE HILL AVENUE,Y,,,POINT (233346.48019396514 891290.8433054946)
GISDATA.TRAINS_NODE.52,BEMIS,,,Y,POINT (224749.87501064688 902015.4999898896)
GISDATA.TRAINS_NODE.55,SOUTH STATION,Y,Y,Y,POINT (236666.948601678 900202.9207037985)
GISDATA.TRAINS_NODE.56,SOUTH STATION,Y,Y,,POINT (236631.2867999822 900199.384003628)
GISDATA.TRAINS_NODE.57,BOSTON LANDING,Y,,Y,POINT (229729.68749717623 900801.6875072382)
GISDATA.TRAINS_NODE.58,FRAMINGHAM,Y,Y,,POINT (206608.2065989673 891744.1401020251)
GISDATA.TRAINS_NODE.59,WELLESLEY FARMS,Y,,,POINT (218765.26980139315 896884.2267961688)
GISDATA.TRAINS_NODE.60,AUBURNDALE,Y,,,POINT (220575.70311238617 899511.4999959543)
GISDATA.TRAINS_NODE.61,NEWTONVILLE,Y,,,POINT (224190.29590906948 900148.4552012086)
GISDATA.TRAINS_NODE.62,LANSDOWNE,Y,,,POINT (232919.01919866353 899755.1974075325)
GISDATA.TRAINS_NODE.63,WELLESLEY HILLS,Y,,,POINT (218401.34380910546 895634.9375118278)
GISDATA.TRAINS_NODE.64,ASHLAND,Y,,,POINT (201970.1250036657 890054.9374967925)
GISDATA.TRAINS_NODE.65,SOUTHBOROUGH,Y,,,POINT (198033.59379169345 890736.5625041686)
GISDATA.TRAINS_NODE.68,BACK BAY,Y,Y,,POINT (235009.17189794034 899768.4375081584)
GISDATA.TRAINS_NODE.69,WEST NATICK,Y,,,POINT (208954.56251040846 892526.7499891967)
GISDATA.TRAINS_NODE.70,NATICK CENTER,Y,,,POINT (212535.65630550683 892800.7500022128)
GISDATA.TRAINS_NODE.72,WYOMING HILL,Y,,,POINT (235423.04689259827 911369.3125091717)
GISDATA.TRAINS_NODE.73,WAKEFIELD,Y,,,POINT (234864.81249108166 916957.8749996163)
GISDATA.TRAINS_NODE.74,NORTH STATION,Y,Y,Y,POINT (236056.20309767127 901846.3750068583)
GISDATA.TRAINS_NODE.75,NORTH STATION,Y,Y,,POINT (236062.39059796184 901850.500007052)
GISDATA.TRAINS_NODE.76,NORTH STATION,Y,Y,,POINT (236070.64059835672 901857.2500073723)
GISDATA.TRAINS_NODE.77,NORTH STATION,Y,Y,,POINT (236075.06249856204 901860.5000075288)
GISDATA.TRAINS_NODE.78,EAST WEYMOUTH,Y,,Y,POINT (247744.04690281302 885600.1875102036)
GISDATA.TRAINS_NODE.93,CHELSEA,Y,,Y,POINT (238413.1250096187 905099.8125113882)
GISDATA.TRAINS_NODE.96,WALPOLE,Y,,Y,POINT (219992.64060968906 877238.3124880381)
GISDATA.TRAINS_NODE.101,SALEM,Y,,Y,POINT (249629.34379235655 919443.9999926984)
GISDATA.TRAINS_NODE.102,SWAMPSCOTT,Y,,Y,POINT (247555.03129383177 913906.6250046864)
