FID,lnk,reg_obj_id,ro_acct,root_id,site_name,address,town,sw_id,acres,cap_status,lf_liner,status,type_oper,type_rsp,waste_type,l_base,l_acc_est,l_type,l_meth,l_src_1,l_src_2,l_src_3,l_staff,l_prog,l_date,dig_method,shape
GISDATA.SW_LD_POLY.600,014A,39041,172301,172302,ASHLAND LANDFILL,HOWE ST,ASHLAND,0014.001,7.2135353,Capped,Not Lined,Closed,Municipal,,MSW,DOQ,100,PB,DDS,DD_PAR,AP_DOQ,DD_SW,MANNO_T,DEP_BAW,2010-09-15T00:00:00,PAR,"POLYGON ((199992.4062838778 889938.437514957, 199980.70309095085 889922.9375039823, 199976.6094161719 889918.5000314377, 199973.14058098942 889914.1250126325, 199969.4999980256 889908.875003498, 199965.20311354846 889904.2500018477, 199960.89061564207 889900.124999471, 199958.01559464633 889897.4374740086, 199954.2030960098 889893.8749917932, 199950.4687988609 889890.0000058375, 199945.64058750868 889886.187507201, 199940.7344097197 889882.6874787249, 199935.9374924004 889879.5625084639, 199931.5625071749 889876.8124956861, 199926.70310252905 889874.7500112839, 199921.1250097975 889873.0000306256, 199915.74999245256 889871.4999992363, 199910.18751315773 889869.2499857284, 199904.1405808702 889867.0624931157, 199898.96880679578 889865.2499915585, 199893.75002453476 889863.18750716, 199888.09379746765 889861.3124847114, 199882.98440998048 889859.8124868982, 199878.18749266118 889858.4374972954, 199873.20307980478 889857.3124905415, 199868.28132215887 889855.9375009425, 199863.23438841105 889854.9375023991, 199858.3125300333 889854.2500075996, 199798.8906168118 889847.9999999218, 199743.27042391896 889932.5548091456, 199761.70270514488 889943.8525899984, 199783.83231494576 889957.4708294943, 199807.66419208795 889970.6635105461, 199822.9846989289 889980.451589752, 199834.90060392767 889989.8141105175, 199845.11430872977 889998.3255143985, 199854.15630078316 890007.8125061393, 199862.4687928632 890014.7500086166, 199883.2908026576 890035.9101080447, 199899.3931228742 890052.5470121317, 199919.55698441714 890073.3802703172, 199953.15629073977 889985.5624882169, 199992.4062838778 889938.437514957))"
GISDATA.SW_LD_POLY.601,258I,39691,172901,172902,PALMER COVE DUMP,SALEM ST LEAVITT ST,SALEM,0258.009,7.25748418,Incomplete,n/a,Inactive,,,MSW,NA,100,PB,DDS,DD_PAR,DD_OS,AP_DOQ,MANNO_T,DEP_BAW,2010-11-24T00:00:00,PAR,"POLYGON ((250204.9542164728 918451.4608453847, 250214.71422507614 918411.1208330207, 250243.73422842473 918408.7308358327, 250271.15420724452 918397.8508234918, 250273.76420277357 918388.1508846432, 250273.41419320554 918388.0008613579, 250266.16418699175 918384.4908604324, 250263.984249264 918383.5008679181, 250264.29423470795 918382.1208753027, 250265.06422888488 918378.5408657491, 250268.4441850111 918372.930874601, 250272.3041955009 918362.1208708882, 250281.26419183612 918337.420853179, 250284.2241969183 918329.7108718082, 250287.80420647562 918320.1308710016, 250290.31420885772 918312.4708526246, 250292.59420687705 918306.6208510809, 250255.52421861887 918292.1708687916, 250261.20421839505 918260.2208448648, 250137.37419950217 918237.6908260062, 250116.35418448597 918264.7808409035, 250080.08424207568 918309.1208474338, 250077.73423542827 918319.9908537455, 250087.32424226403 918320.9608677775, 250086.3242437169 918328.3708697334, 250099.00419971347 918326.4108631909, 250098.87418848276 918327.3008625619, 250111.13419344276 918325.3408560194, 250122.84420255572 918326.7508667223, 250118.88419893384 918361.4108793102, 250121.03418572247 918371.9808726273, 250113.28421381116 918373.5908696093, 250109.7341887653 918401.6808494702, 250104.19420624524 918428.2208349481, 250204.9542164728 918451.4608453847))"
GISDATA.SW_LD_POLY.603,040A,39107,172362,172363,WALWORTH FOUNDRY LANDFILL,1525 WASHINGTON ST,BRAINTREE,0040.001,0.8738675,Incomplete,n/a,Inactive,Private,,MSW,DOQ,100,EWK,PHO,SV,,,FERGUSON_C,DEP_BAW,2008-05-08T00:00:00,F,"POLYGON ((240141.0320159495 881754.7899551392, 240191.67948088795 881763.3329552412, 240248.7339944318 881791.4026544243, 240258.80254465342 881778.8933045901, 240213.952129893 881750.5186229758, 240215.47757928818 881729.1611898765, 240145.3034824282 881720.0081241839, 240141.0320159495 881754.7899551392))"
GISDATA.SW_LD_POLY.604,262B,39701,172910,172911,SAUGUS MAIN STREET LANDFILL,513 MAIN ST,SAUGUS,0262.002,15.07983088,Capped,Not Lined,Closed,Municipal,,MSW,DOQ,100,CAP,PHO,DD_SW,AP_DOQ,,MANNO_T,DEP_BAW,2010-09-22T00:00:00,F,"POLYGON ((237686.07914528996 914689.3305777684, 237674.17287697643 914757.4609599262, 237702.61561973393 914768.0443170033, 237723.78236746043 914840.8048717119, 237748.9178153351 914882.4767940268, 237764.1313785389 914897.0289519802, 237773.3918243721 914895.04456833, 237781.9907978028 914888.4299449734, 237789.2668599859 914869.9090868831, 237799.85021705925 914855.3569625095, 237834.2460771948 914839.4819604717, 237862.02741469443 914839.4819604717, 237868.642004475 914849.4038115628, 237890.4701910317 914854.6955236755, 237903.03789818287 914855.3569625095, 237910.97543277591 914848.7423727326, 237915.60563890636 914888.4299449734, 237927.5119072199 914891.0758010335, 237938.75673670322 914875.86220425, 237938.75673670322 914847.4194279127, 237950.00156618655 914835.5131931752, 237949.34009378403 914815.0079514347, 237946.03279889375 914805.0860331878, 237949.34009378403 914793.8412037045, 237942.0640315935 914768.0443170033, 237949.34009378403 914748.200514093, 237960.5848896876 914749.5234253332, 237977.12139771134 914732.9869508892, 237987.7047547847 914703.221229732, 237988.36622719467 914670.1482808441, 237983.73598748446 914619.2158791162, 237967.19947946817 914570.9293334447, 237959.26197844744 914546.4553244039, 237930.15776327997 914541.8251182772, 237919.00359244645 914548.5659586266, 237903.69937059283 914572.2522111088, 237897.74621964246 914598.710603796, 237900.39207570255 914617.892967876, 237883.19409526885 914629.7992026135, 237863.35035951436 914623.1846128367, 237851.44405762106 914646.3357106373, 237823.0012812838 914641.0440320969, 237782.652236633 914629.7992026135, 237768.76161824167 914703.882702142, 237719.81360016763 914727.6952723488, 237719.81360016763 914693.9608174749, 237686.07914528996 914689.3305777684))"
GISDATA.SW_LD_POLY.619,187D,85,169041,169042,OLD MILLIS LANDFILL,ISLAND RD,MILLIS,0187.004,10.57896928,Incomplete,Not Lined,Inactive,Municipal,,MSW,DTQ,100,EWA,MAP,MS_USGS,,,MANNO_T,DEP_BAW,1997-08-18T00:00:00,F,"POLYGON ((212587.96877261996 881067.5624970384, 212567.35940773785 881081.4374684095, 212522.76569128036 881109.9374604337, 212489.32819386572 881200.374975469, 212520.28124120831 881216.4374394566, 212550.01566833258 881238.7499446981, 212637.95308628678 881270.9375278763, 212737.0468911603 881268.4999852628, 212749.42193187773 881262.2499440089, 212763.04685325176 881252.37500038, 212776.6719089374 881230.0624951385, 212775.43750740588 881210.2500534058, 212770.48438857496 881194.1249342151, 212759.32813595235 881166.8749571592, 212749.42193187773 881140.8750286475, 212730.84375736862 881121.0624526069, 212692.45317470282 881090.1250522807, 212642.90620511025 881066.562498495, 212628.0468822047 881060.3750117123, 212611.93751075864 881060.3750117123, 212587.96877261996 881067.5624970384))"
GISDATA.SW_LD_POLY.621,189B,289344,288467,289343,UNQUITY ROAD LANDFILL,UNQUITY RD,MILTON,0189.002,2.22666468,Incomplete,Not Lined,Inactive,State,,MSW,DOQ,100,EWA,PHO,AP_DOQ,MS_LMTQ,KNOW,MANNO_T,DEP_BAW,2015-12-23T00:00:00,F,"POLYGON ((233874.17183656245 885671.3749367744, 233864.70307728648 885672.1875069402, 233855.5469224751 885674.6250495538, 233846.95311995596 885678.6874638833, 233839.17185401917 885684.1250692792, 233839.77597643435 885697.7665442526, 233839.77597643435 885710.4665794596, 233838.7176541537 885727.3999373466, 233838.7176541537 885751.2124739774, 233840.8343322873 885760.7375087775, 233842.421832487 885778.7292225212, 233854.59268976748 885785.0792233348, 233866.76354704797 885786.6667235382, 233878.40522640198 885790.3709018715, 233883.64056225866 885779.4375352338, 233901.39068748057 885772.9374439791, 233914.38862030953 885776.0833664648, 233921.32813742012 885752.9999604598, 233925.34381218255 885744.4375526905, 233927.7968339175 885735.2500031292, 233933.4386563301 885713.6415798664, 233928.14701136947 885699.8832223825, 233921.7969769761 885689.8290432356, 233911.21361990273 885678.716508232, 233902.21776302904 885672.3665074185, 233892.69276180863 885667.6039732285, 233874.17183656245 885671.3749367744))"
GISDATA.SW_LD_POLY.624,314C,39849,173046,173047,WATERTOWN BEMIS DUMP,PLEASANT ST,WATERTOWN,0314.003,14.93136821,Incomplete,Not Lined,Inactive,Municipal,,MSW,NA,0,CF,XY_2,MS_USGS,TEXT,,BODIN_E,DEP_BAW,1994-12-08T00:00:00,UTM,"POLYGON ((223860.24999964237 901670.7499696724, 223836.07808538526 901672.87494139, 223812.687480852 901679.187503539, 223790.73442038894 901689.37505164, 223770.8593570292 901703.31254391, 223753.7344071865 901720.4374937601, 223739.82817536592 901740.3125571162, 223729.5937533751 901762.2499705665, 223723.328098692 901785.6874825619, 223721.20309339464 901809.8124893568, 223723.328098692 901834.000050623, 223729.6093668118 901857.4375290424, 223739.85940223187 901879.3125559054, 223753.75002061576 901899.1875185333, 223770.9062309116 901916.3749892749, 223790.7500674054 901930.2499606498, 223812.7187077254 901940.4999960698, 223836.14060628414 901946.7500373237, 223860.24999964237 901948.8750090413, 223884.42191389948 901946.7500373237, 223907.82816544175 901940.4375087507, 223929.76567962766 901930.1874397546, 223949.6562556848 901916.3124683797, 223966.78120553493 901899.1875185333, 223980.67182391882 901879.3125559054, 223990.92189291865 901857.3125208281, 223997.17190059274 901833.9375297278, 223999.29687231034 901809.8124893568, 223997.17190059274 901785.6249616668, 223990.89063247293 901762.2499705665, 223980.6405634731 901740.3125571162, 223966.74997866154 901720.4374937601, 223949.60938180238 901703.31254391, 223929.75006619096 901689.37505164, 223907.78125798702 901679.1249826439, 223884.37504001707 901672.87494139, 223860.24999964237 901670.7499696724))"
GISDATA.SW_LD_POLY.631,207C,39551,172774,172775,PINE STREET LANDFILL,PINE ST,NEWTON,0207.003,14.77777836,Incomplete,Not Lined,Inactive,,,MSW,PTQ,0,UNK,MAP,MS_USGS,,,UNK,UNK,1994-09-01T00:00:00,F,"POLYGON ((221327.50001589954 900325.1874295734, 221309.6406302154 900330.2499431781, 221301.29691126943 900348.0624549799, 221284.03127261996 900363.8750032783, 221275.06251261383 900376.562447004, 221257.84378142655 900386.0624667294, 221254.62492909282 900395.6249737702, 221257.1406396106 900405.1874808148, 221261.54688528925 900416.062557295, 221272.35940729827 900425.687450923, 221300.28129929304 900457.6875049956, 221352.3437107876 900514.6875226162, 221393.0000547096 900548.6875066198, 221415.25003905594 900564.7499706075, 221443.18754448742 900592.2499976642, 221513.03130806983 900671.6875287406, 221528.90624295175 900687.6875054091, 221540.99993964285 900692.8750272244, 221549.28130558133 900691.6250122599, 221568.40618535876 900684.6874426305, 221600.98437303305 900663.812515039, 221617.60935718566 900648.6250078045, 221634.85931524634 900636.6250588782, 221634.89057569206 900627.0625518337, 221626.6406045109 900616.8125164136, 221622.8593998924 900605.3125667609, 221619.7186818868 900594.437490277, 221621.0312513262 900581.6875256561, 221620.39059682935 900575.9374836758, 221623.0467946902 900549.1874723136, 221626.29690747708 900531.374994088, 221619.31246396154 900524.93755804, 221612.31254132092 900516.6249316521, 221590.734337613 900494.8749465756, 221578.67186778784 900479.5000109673, 221555.7656155154 900474.249934677, 221538.56253133714 900470.9999562055, 221501.6562658921 900452.9375622869, 221461.5781563148 900436.8124430962, 221427.8749954626 900416.2499520928, 221401.81254605204 900396.3750230446, 221380.20304831862 900379.6875179969, 221361.79682305455 900356.6249970607, 221327.50001589954 900325.1874295734))"
GISDATA.SW_LD_POLY.632,328D,39878,173072,173073,"WESTBOROUGH 16 LLC, No. 5",59 BRIGHAM ST,WESTBOROUGH,0328.004,1.50481418,Incomplete,Not Lined,Inactive,,Private,MSW,DOQ,100,EWA,MAP,MS_SITE,AP_DOQ,MS_TAX,SWIGOR_J,DEP_GIS,2013-07-22T00:00:00,F,"POLYGON ((192264.77135577798 890911.9761867821, 192253.65882077068 890911.9761867821, 192239.37128536403 890916.7386873923, 192230.6400174573 890925.469955299, 192229.05251725018 890934.2012232095, 192229.05251725018 890947.6949917264, 192229.05251725018 890961.9825271368, 192231.4337843433 890975.4762956575, 192238.57755205035 890985.0013304539, 192246.51505307108 890985.0013304539, 192267.15258929133 890985.0013304539, 192294.9339267984 890987.3825975507, 192309.22142863274 890985.7950973473, 192310.01519551873 890982.6200633608, 192313.19019592553 890961.9825271368, 192320.33396363258 890953.2512592301, 192320.33396363258 890940.5512575991, 192317.15896322578 890927.8512223959, 192310.01519551873 890918.3261875957, 192300.49016071856 890911.9761867821, 192282.23389159143 890911.9761867821, 192264.77135577798 890911.9761867821))"
GISDATA.SW_LD_POLY.638,328A,191626,191626,191625,WESTBOROUGH LANDFILL,68 HOPKINTON RD,WESTBOROUGH,0328.001,9.47640429,Capped,Not Lined,Closed,Private,Private,MSW,DOQ,100,EWA,IN,MS_SITE,AP_DOQ,,SWIGOR_J,DEP_GIS,2004-05-06T00:00:00,F,"MULTIPOLYGON (((192440.24803228676 889603.7935868092, 192424.78821332008 889603.7935868092, 192412.4203581363 889623.8914354183, 192398.5063699633 889667.1789285429, 192401.5983673334 889695.0066362694, 192409.0074627027 889720.9384029061, 192417.05821988732 889749.1161201969, 192440.24803228676 889759.9379766919, 192474.25970118493 889758.3919780031, 192509.81723445654 889738.2942637056, 192534.55307912081 889710.4664552435, 192543.8289033547 889688.822775837, 192537.644908607 889676.454920657, 192511.3632331416 889647.0812478215, 192466.52970775217 889616.1615762971, 192440.24803228676 889603.7935868092)), ((192389.23051215708 889736.7482985966, 192332.0291651711 889729.0183051676, 192296.47149758786 889735.2022999115, 192290.28763715178 889753.7541162558, 192290.28763715178 889787.7656508423, 192288.74163846672 889831.0533118546, 192298.01749627292 889849.604993891, 192307.29335407913 889857.33498732, 192350.58101508766 889865.0648464411, 192381.5006866157 889855.788988635, 192401.5983673334 889835.6911736019, 192404.690364711 889809.4094645604, 192407.7823620811 889801.6795047075, 192429.42604149133 889795.4956442714, 192430.9720401764 889767.6679701209, 192412.4203581363 889749.1161201969, 192389.23051215708 889736.7482985966)), ((192611.78538878262 889568.2452201322, 192619.9322777167 889564.6809583232, 192625.53337088227 889565.6992564835, 192632.15269505978 889563.1534271426, 192639.2813194096 889561.1167300902, 192655.57513085753 889548.8963127472, 192671.8690766096 889540.240123637, 192687.1446234733 889544.313652046, 192699.36504081637 889545.8411832303, 192712.6037227437 889541.7676548176, 192724.31500779092 889530.0563697666, 192730.42523325235 889523.9461778812, 192717.69568362087 889495.9410813861, 192713.62215521187 889484.229930643, 192707.0027974546 889480.6655680984, 192701.4017378688 889484.7390629314, 192692.23641646653 889492.8859854452, 192675.4333384186 889497.4686461464, 192648.95577310026 889502.5605734475, 192629.60686571896 889507.143099837, 192617.89558066428 889510.1981957778, 192611.78538878262 889509.1799311973, 192594.9823107347 889506.1248016767, 192580.21603047103 889499.505477503, 192578.17919911444 889521.4003485404, 192580.7251963392 889534.1298981756, 192588.36295298487 889552.9696732722, 192599.56493785977 889573.8462797254, 192611.78538878262 889568.2452201322)))"
