FID,line,route,grade,shape
GISDATA.MBTA_ARC.1,SILVER,SL2,3,"LINESTRING (238312.4083006233 899673.4250013828, 238306.14559942484 899679.9286008924, 238287.02880110592 899707.853298489, 238236.3527990356 899785.5198003203, 238228.78929935396 899797.0559999719, 238226.4379999861 899800.1166001223, 238223.70930042863 899802.3741996624, 238220.61370084435 899804.3584991992, 238217.20059898496 899805.4697992504, 238213.07310064137 899805.3904010728, 238209.2031006217 899804.1874999776, 238205.61179881543 899801.3423009068, 238202.4770988971 899797.637898799, 238201.00799872726 899793.8016009107, 238201.09999895096 899789.6510003768, 238202.25000015646 899782.125001207)"
GISDATA.MBTA_ARC.2,SILVER,SL2,3,"LINESTRING (238304.99999849498 899670.2500004955, 238397.59380049258 899614.0000000186, 238473.28870150447 899567.9563015513, 238497.34380138665 899553.3750009239, 238554.4493000731 899517.2900012843, 238570.99840001017 899505.9876988083, 238546.1083001271 899463.1976010539)"
GISDATA.MBTA_ARC.3,SILVER,SL1 SL2,7,"LINESTRING (236634.33619924635 900334.7098015212, 236628.62979985029 900325.3894004226, 236626.15699881315 900319.8732011393, 236599.421898596 900229.0000006743, 236597.39059945196 900225.0000009574, 236593.31249887496 900219.4375006258, 236586.2655987814 900210.0625000261, 236585.7655992061 900207.4375014789, 236586.2655987814 900204.3749990165, 236588.73439872265 900201.5625010207, 236592.8438001424 900200.2499986291, 236595.70310127735 900202.2500000447, 236597.0780993253 900205.3750012852, 236600.37500105053 900213.8125015125, 236605.54690039903 900227.9374996312, 236615.21869924664 900269.1249984987, 236631.4830011055 900317.2101999931, 236633.765499115 900322.7263992764, 236640.21869980544 900330.9374993145)"
GISDATA.MBTA_ARC.4,SILVER,SL1 SL2,3,"LINESTRING (238133.6261991486 899706.2561009303, 238119.32229941338 899714.618200954, 238098.7793994248 899729.2645014338, 238092.31219958514 899732.6883996986, 238087.2280997783 899733.1897995025, 238055.05159860104 899733.3908989318)"
GISDATA.MBTA_ARC.5,SILVER,SL1 SL2 SL3,3,"LINESTRING (238055.05159860104 899733.3908989318, 238036.34380067885 899732.9374997877, 238022.4688007906 899732.8124991134, 237963.5385005921 899731.9274994619, 237934.41989890486 899734.0017004386, 237925.1919003129 899735.1269996427, 237914.9711001888 899737.7365988083, 237845.63510127366 899773.8130006194, 237684.73439866304 899861.6249990538)"
GISDATA.MBTA_ARC.6,SILVER,SL1 SL2 SL3,7,"LINESTRING (237331.4218994975 900308.8750005439, 237490.3050994128 900210.6788993217, 237512.28470099717 900191.9961994626, 237523.29370111972 900180.4750998095, 237535.3633997664 900164.5215984695, 237545.25430140644 900148.0367998257, 237562.37499961257 900118.8750000373, 237563.90289996564 900112.9224008024, 237579.32279940695 899968.9023993425, 237592.51059965044 899940.3289007545, 237612.2923000157 899917.2501988709, 237627.85940105468 899895.6875000894, 237646.9103013873 899876.0383004993, 237675.9063005671 899856.8124996424)"
GISDATA.MBTA_ARC.7,SILVER,SL1 SL2 SL3,7,"LINESTRING (237684.73439866304 899861.6249990538, 237651.85570074618 899883.1817008741, 237635.37089898437 899899.6663997248, 237599.1044997722 899944.7247998677, 237588.11460074037 899971.6499006078, 237572.84280104935 900115.5853988267, 237571.48240090907 900120.588899821, 237554.5955998823 900148.5863000788, 237537.5614007786 900173.8629000597, 237518.87860111892 900195.2931011878, 237499.64640101045 900211.2283995748, 237337.5462994203 900316.1814010739)"
GISDATA.MBTA_ARC.8,SILVER,SL1 SL2 SL3,3,"LINESTRING (237675.9063005671 899856.8124996424, 237842.37189855427 899770.5499008149, 237893.45680123568 899740.753801275, 237912.13769857585 899732.2010988444, 237933.0694001466 899727.9246992916, 237962.77770014852 899725.0798993967, 238020.19210015982 899727.5046997741, 238028.88499993086 899724.2461998239, 238033.19949875772 899721.6052998118, 238037.00950106978 899719.2769997194, 238041.4544985667 899716.7370002568, 238046.32290103287 899714.1970007978, 238051.08540080488 899712.5036990084, 238057.96460109204 899711.3394990638, 238063.46309950948 899711.2848995626)"
GISDATA.MBTA_ARC.9,SILVER,SL1 SL2 SL3,3,"LINESTRING (238063.46309950948 899711.2848995626, 238072.78129891306 899710.7574006505, 238078.17880010605 899711.4981987439, 238080.11469981074 899712.7987009734, 238082.95300065726 899714.6909004971, 238084.65600112826 899718.096901428, 238085.41290026903 899727.3687997833, 238093.1710003391 899726.9903985485, 238099.34569928795 899724.1416006759, 238130.27269893885 899701.4121010825, 238134.7440013662 899696.1955004968)"
GISDATA.MBTA_ARC.10,SILVER,SL1 SL2 SL3,7,"LINESTRING (237337.5462994203 900316.1814010739, 237293.5868997872 900342.5570015609, 237251.5781006813 900365.7500012703, 237223.7186991945 900375.5624995455, 237187.45310144871 900384.6874988005, 237152.9375006482 900390.5624992587, 236982.4219001755 900422.0625005253, 236922.18749894947 900433.6875007674, 236862.50000022352 900433.8125014417, 236826.67190015316 900430.8125008754, 236788.93749849498 900424.8749985211, 236759.01559993625 900412.4374985769, 236734.95570061356 900402.3749989532, 236717.71989999712 900393.3035014719, 236699.12499967217 900382.4374991544, 236672.2343994081 900366.6249997467, 236653.12500139326 900351.9375001565, 236634.33619924635 900334.7098015212)"
GISDATA.MBTA_ARC.11,SILVER,SL1 SL2 SL3,7,"LINESTRING (236640.21869980544 900330.9374993145, 236661.49999972433 900345.7499995753, 236683.75000105798 900360.2499997132, 236705.12500080466 900372.2499988563, 236735.92190096527 900391.062498834, 236766.70309924334 900404.7499992736, 236787.2344013527 900412.4374985769, 236821.1344012022 900419.6106997766, 236861.0488005057 900423.2392993942, 236922.73460104316 900423.2392993942, 236965.2030987516 900413.6874990761, 237137.781199418 900381.3124993332, 237183.14059849083 900372.8125003278, 237235.93749863654 900360.1249990389, 237288.4844005555 900334.1249993294, 237331.4218994975 900308.8750005439)"
GISDATA.MBTA_ARC.12,SILVER,SL4,3,"LINESTRING (236409.42950110137 900301.1195013449, 236394.30379904807 900293.0738994181, 236373.35299950093 900279.7783003971, 236349.179098621 900255.2013991922, 236335.4805990681 900236.6680995077, 236322.9907013178 900217.7318992913, 236315.7386009097 900204.033299949, 236303.6516005695 900175.02459893, 236296.80230090022 900148.4333010986, 236279.47769968957 900088.4014993235, 236271.41970153898 900058.1840998307, 236231.47669893503 900068.7648986578, 236178.4779010117 900089.5178015195, 236124.20140054822 900108.993301224, 236087.0056996122 900120.9945010096, 236071.96920043975 900125.747298982, 236067.05250105262 900127.0780012086, 236053.71909902245 900130.6876993179, 236012.2584997341 900141.2918997109, 236002.0418004915 900143.1997013204, 235995.66180143505 900139.4190008678, 235991.64479940385 900135.4018990472, 235987.18370085955 900126.3765997067)"
GISDATA.MBTA_ARC.13,SILVER,SL4 SL5,3,"LINESTRING (235987.18370085955 900126.3765997067, 235973.689899534 900086.4245002978, 235939.1003985554 899996.7103011645)"
