Fact,Ayer,Abington,Andover,Belmont,Beverly,Dedham,Concord,Canton,Brockton,Braintree,Dedham,Chelsea,Hingham,Franklin,Everett,Kingston,Plymouth,Norwood,Needham,Newton,Mansfield,Rockport,Quincy,Wakefield,Waltham,Weston town,Winchester,Wellesley,Weymouth,Westwood,Whitman,Stoneham
"Population Estimates, July 1 2021, (V2021)","8,400",X,X,"26,838","42,446","25,240","18,184","24,470","105,446","38,822","25,240","38,889","24,311","33,036","48,557","13,793","533,003","31,441","32,048","87,453","23,823","6,959","101,119","27,104","64,015","11,666","22,662","30,191","57,670","16,213","15,279","22,877"
"Population estimates base, April 1, 2020, (V2021)","8,480",X,X,"27,344","42,714","25,356","18,466","24,377","105,652","39,168","25,356","40,615","24,295","33,243","49,165","13,703","530,819","31,624","32,100","88,787","23,837","6,994","101,685","27,108","64,994","11,830","22,995","29,315","57,513","16,258","15,142","23,284"
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)",-0.90%,X,X,-1.90%,-0.60%,-0.50%,-1.50%,0.40%,-0.20%,-0.90%,-0.50%,-4.20%,0.10%,-0.60%,-1.20%,0.70%,0.40%,-0.60%,-0.20%,-1.50%,-0.10%,-0.50%,-0.60%,0.00%,-1.50%,-1.40%,-1.40%,3.00%,0.30%,-0.30%,0.90%,-1.70%
"Population, Census, April 1, 2020","8,479","17,062","9,735","27,295","42,670","25,364","18,491","24,370","105,643","39,143","25,364","40,787","24,284","33,261","49,075","13,708","530,819","31,611","32,091","88,923","23,860","6,992","101,636","27,090","65,218","11,851","22,970","29,550","57,437","16,266","15,121","23,244"
"Population, Census, April 1, 2010","7,427","15,985","8,762","24,729","39,502","24,729","17,668","21,561","93,810","35,744","24,729","35,177","22,157","31,635","41,667","12,629","494,919","28,602","28,886","85,146","23,184","6,952","92,271","24,932","60,632","11,261","21,374","27,982","53,743","14,618","14,489","21,437"
"Persons under 5 years, percent",6.30%,7.30%,3.90%,6.50%,5.30%,6.70%,5.70%,5.80%,6.90%,5.00%,6.70%,8.00%,5.60%,4.70%,6.40%,4.80%,5.00%,5.60%,4.80%,4.30%,4.90%,3.80%,5.30%,6.30%,5.00%,5.40%,6.10%,4.50%,4.40%,5.10%,4.70%,6.60%
"Persons under 18 years, percent",18.40%,23.10%,15.30%,25.50%,19.00%,18.50%,24.10%,21.30%,25.90%,21.80%,18.50%,24.50%,24.60%,22.30%,22.00%,22.40%,20.80%,19.60%,27.30%,21.30%,22.10%,13.80%,14.60%,20.60%,13.70%,25.90%,27.90%,25.30%,17.60%,25.40%,23.50%,19.30%
"Persons 65 years and over, percent",14.00%,13.60%,18.90%,17.20%,17.70%,19.40%,20.50%,20.00%,13.00%,16.70%,19.40%,9.70%,22.60%,13.30%,11.30%,19.60%,19.10%,16.70%,19.50%,18.30%,12.90%,36.20%,16.80%,17.60%,14.50%,20.80%,18.30%,14.30%,18.90%,18.30%,14.30%,19.70%
"Female persons, percent",48.70%,47.70%,53.60%,53.50%,53.10%,53.40%,49.70%,53.30%,52.60%,51.90%,53.40%,49.20%,53.20%,52.00%,49.00%,52.10%,51.10%,51.10%,52.30%,53.00%,52.70%,55.10%,50.80%,50.70%,51.70%,51.10%,52.60%,57.40%,52.00%,52.60%,49.80%,51.20%
"White alone, percent",85.80%,87.30%,87.20%,76.80%,90.30%,84.60%,82.20%,79.80%,33.90%,75.10%,84.60%,42.40%,95.60%,89.50%,54.10%,95.30%,83.40%,81.70%,86.10%,76.00%,89.00%,96.30%,60.00%,94.40%,70.50%,79.60%,78.80%,78.10%,85.00%,84.00%,93.00%,88.30%
"Black or African American alone, percent",4.20%,2.50%,1.80%,1.10%,3.00%,7.60%,4.00%,6.50%,43.70%,3.20%,7.60%,6.20%,0.60%,1.40%,17.80%,0.60%,12.30%,8.50%,2.80%,3.00%,2.40%,0.10%,5.70%,1.00%,7.60%,1.80%,0.90%,2.90%,5.60%,1.20%,2.00%,2.90%
"American Indian and Alaska Native alone, percent",0.20%,0.00%,0.00%,0.30%,0.10%,0.10%,0.00%,0.60%,0.40%,0.10%,0.10%,0.10%,0.10%,0.00%,1.00%,0.00%,0.30%,0.00%,0.10%,0.10%,0.20%,0.10%,0.30%,0.00%,0.50%,0.00%,0.60%,0.00%,0.10%,0.00%,0.00%,0.00%
